date,user,is_retweet,is_quote,text,quoted_text
2020-07-06 02:43:44,GCheriyan,False,False,In a letter titled ‘Assault on the Rule of Law and Article 19 of the Constitution of India’, 99 civil servants lamented the “erosion” of rule of law and urged all Indians to “unite” in defence of the rule of law and Right to Freedom of Speech
https://t.co/L3Qt3X7g9j,
2020-07-06 02:43:45,shreyas123r,True,False,RT @earth: A black panther roaming in the jungles of Kabini, India. https://t.co/UT8zodvv0m,
2020-07-06 02:43:45,sevensinsmovies,False,False,Corona Update in India!
https://t.co/DNniASCKQ3
Total Confirmed:673165
Active Cases:244814
Total Recovered: 409083
Total Deaths:19268
Updated at:06/07/2020
#stayhome #CoronaUpdatesInIndia #CoronavirusIndia #CoronaUpdates 
 #COVIDー19
Hindi Chini Bye Bye https://t.co/FKmoC8I7My,
2020-07-06 02:43:45,kukangcantip,True,False,RT @KeeNand__: Negara ini kekurangan toilet, padahal anggaran militer nya salah satu yang paling besar di Asia, dan CNN pernah meliput Indi…,
2020-07-06 02:43:45,sridhar1085,False,True,Early morning optimism!!! We need the same levels in India too!!!,We're going to beat Donald Trump. And when we do, we won't just rebuild this nation — we'll transform it.
2020-07-06 02:43:46,ganeshchetan,True,False,RT @dhume: .⁦@manujosephsan⁩: For decades, Dalits held an indisputable claim to be the worst off group in India. But it’s time to acknowled…,
2020-07-06 02:43:46,GyatriDebnath,False,False,@actorjeffreyho i am gyatr from India i want fellow mishboyko but i didn't getting his new profile, i am big fan of him after watched queen movie☺🌹,
2020-07-06 02:43:46,ChandanPurbi,False,False,@DoC_GoI 
Sir, with great pain I want to tell that my brother @rakepradha (Chief Oficer) on Vessel; M T Nimbus Gas of 🇱🇷, is stuck since past 4 months in Port Jose, Venezuela since #COVID19Pandemic
Sir it's humble request 🙏🏻 to you &amp; your Dept. to bring him back to India
🙏🏻🙏🏻🙏🏻 https://t.co/zxrRq5gOfW,
2020-07-06 02:43:46,Adalber20775759,True,False,RT @DemocracyNowEs: La escritora Arundhati Roy habló con Democracy Now! acerca de los problemas estructurales de injusticias y desigualdade…,
2020-07-06 02:43:46,AmitKum16572765,True,False,RT @Dheeraj82123464: Reservation destroy india 🇮🇳#सवर्णो_की_भी_सुनो_सरकार https://t.co/7kzlbyMGU3,
2020-07-06 02:43:46,Nithin03781205,True,False,RT @MaheshFanTrends: Here's The Tag To Celebrate The Massive Acheivement Of Superstar @urstrulymahesh On Reaching 10 Million Followers🥳

Mo…,
2020-07-06 02:43:46,nit_ye,False,True,I'd like to send this tweet to my ss teacher who made us learn the world map and know different countries and there location. 😌,can Y'ALL teach yourself geography???? like it's not that hard I'm tired of seeing "omg i thought Africa was a country" or "Asia is all China" or "isn't india in Europe" like how fucking stupid could you be IT'S NOT THAT HARD
2020-07-06 02:43:47,raj181998,True,False,RT @atram_shatram: India m politicians ameero se paisa leke khud ke shaukh poore karte hai aur middle class  walo se paisa leke gareebo ke.…,
2020-07-06 02:43:47,Jha14140571,True,False,RT @ShivamJ24: @witter0001 @Ashok_Kashmir A man who worships people like Savarkar ,SP Mookerjee ,Golwalkar ,Godse cannot be and are not pat…,
2020-07-06 02:43:47,EvilOdradek,True,False,RT @emeequis: 🌐#EnElMundo #COVID19 supera 11.4 millones de casos • 11,408,981 ✅• 533,684☠️
México 8vo del Top10
🇺🇸EU 2,880,130
🇧🇷Brasil 1,6…,
2020-07-06 02:43:47,SreejaSanyal2,False,True,#PMModiCBIForSSR,INDIA DEMANDS JUSTICE FOR SUSHANT

All Culprits have to be punished hard
There are proofs and their sources all over SM

Indians are not going to buy lie and Lie-peddlers
When we Unite, none can stop

Sushant DESERVED TO LIVE as much as we do ..
#PMModiCBIForSSR
2020-07-06 02:43:47,raul72317,False,False,Electric grid :) @ Chennai, India https://t.co/XOkzjY059x,
2020-07-06 02:43:47,Reyanshtweets,True,False,RT @Reyanshtweets: @RahulGandhi CONGRESS HAS FAILED INDIA

CONGRESS HAS DIVIDED INDIA

CONGRESS HAS LOOTED INDIA

#berozgaarRaGa 
#berozgaa…,
2020-07-06 02:43:47,deepak2013bans1,True,False,RT @Silent_Hrt: Do you know 1.8 million people are homeless in india till date?
To solve the problem of homeless people,DSS volunteers buil…,
2020-07-06 02:43:47,Sunil9130,True,False,RT @HansrajMeena: This is ur @Twitter @TwitterIndia
@jack @verified right to suspend any handle, but we have right to know the reasons behi…,
2020-07-06 02:43:47,shashisshukl,True,False,RT @dintya15: Zoya Khan becomes India's first transgender operator of Common Service Centre https://t.co/XLpQsdLSN3,
2020-07-06 02:43:47,vageshdhfm,True,False,RT @PanduGadu2_0: Fastest 1 Million Tweets For A Bday CDP In India 📢

1. #THALAPATHYBdayFestCDP - 50 Mins 

2. #ThalaAJITHBdayGalaCDP - 106…,
